filename,n_v,n_f,energy,cog,bent_min,bent_max,edge_min,edge_max,aspect_ratio_min,aspect_ratio_max,faces_min,faces_max,angle_min,angle_max,angle_aspect_min,angle_aspect_max,solid_angle_min,solid_angle_max
01-00-disk-n-0-0-3dihedron.off,3,2,1.73205080757,3.70074341542e-17,0.0,0.0,1.73205080757,1.73205080757,1.0,1.0,1.29903810568,1.29903810568,2.09439510239,2.09439510239,1.0,1.0,0.0,0.0
01-00-disk-n-0-0-4dihedron.off,4,2,3.82842712475,0.0,0.0,0.0,1.41421356237,1.41421356237,1.0,1.0,2.0,2.0,1.57079632679,1.57079632679,1.0,1.0,nan,nan
01-00-disk-t-0-0-3dihedron.off,3,2,1.73205080757,3.70074341542e-17,0.0,0.0,1.73205080757,1.73205080757,1.0,1.0,1.29903810568,1.29903810568,2.09439510239,2.09439510239,1.0,1.0,0.0,0.0
01-00-disk-t-0-0-4dihedron.off,4,2,3.82842712475,0.0,0.0,0.0,1.41421356237,1.41421356237,1.0,1.0,2.0,2.0,1.57079632679,1.57079632679,1.0,1.0,nan,nan
01-00-flat-n-0-0-cube.off,8,6,19.7407740738,2.77555756156e-17,0.0,0.0,1.15470053838,1.15470053838,1.0,1.0,1.33333333334,1.33333333334,1.23095941734,1.23095941734,1.0,1.0,2.09439510239,2.09439510239
01-00-flat-n-0-0-icosahedron.off,12,20,49.1652530576,0.0,0.0,0.0,1.05146222424,1.05146222424,1.0,1.0,0.478727069164,0.478727069164,1.10714871779,1.10714871779,1.0,1.0,0.628318530718,0.628318530718
01-00-flat-n-0-0-octahedron.off,6,8,9.98528137424,0.0,0.0,0.0,1.41421356237,1.41421356237,1.0,1.0,0.866025403784,0.866025403784,1.57079632679,1.57079632679,1.0,1.0,1.57079632679,1.57079632679
01-00-flat-n-0-0-tetrahedron.off,4,4,3.67423461417,0.0,0.0,0.0,1.63299316186,1.63299316186,1.0,1.0,1.15470053838,1.15470053838,1.91063323625,1.91063323625,1.0,1.0,3.14159265359,3.14159265359
01-00-gc-n-0-0-cube.off,8,6,19.7407740738,2.77555756156e-17,0.0,0.0,1.15470053838,1.15470053838,1.0,1.0,1.33333333334,1.33333333334,1.23095941734,1.23095941734,1.0,1.0,2.09439510239,2.09439510239
01-00-gc-n-0-0-icosahedron.off,12,20,49.1652530576,0.0,0.0,0.0,1.05146222424,1.05146222424,1.0,1.0,0.478727069164,0.478727069164,1.10714871779,1.10714871779,1.0,1.0,0.628318530718,0.628318530718
01-00-gc-n-0-0-octahedron.off,6,8,9.98528137424,0.0,0.0,0.0,1.41421356237,1.41421356237,1.0,1.0,0.866025403784,0.866025403784,1.57079632679,1.57079632679,1.0,1.0,1.57079632679,1.57079632679
01-00-gc-n-0-0-tetrahedron.off,4,4,3.67423461417,0.0,0.0,0.0,1.63299316186,1.63299316186,1.0,1.0,1.15470053838,1.15470053838,1.91063323625,1.91063323625,1.0,1.0,3.14159265359,3.14159265359
01-00-gc-t-0-0-cube.off,8,6,19.7407740738,2.77555756156e-17,0.0,0.0,1.15470053838,1.15470053838,1.0,1.0,1.33333333334,1.33333333334,1.23095941734,1.23095941734,1.0,1.0,2.09439510239,2.09439510239
01-00-gc-t-0-0-icosahedron.off,12,20,49.1652530576,0.0,0.0,0.0,1.05146222424,1.05146222424,1.0,1.0,0.478727069164,0.478727069164,1.10714871779,1.10714871779,1.0,1.0,0.628318530718,0.628318530718
01-00-gc-t-0-0-octahedron.off,6,8,9.98528137424,0.0,0.0,0.0,1.41421356237,1.41421356237,1.0,1.0,0.866025403784,0.866025403784,1.57079632679,1.57079632679,1.0,1.0,1.57079632679,1.57079632679
01-00-gc-t-0-0-tetrahedron.off,4,4,3.67423461417,0.0,0.0,0.0,1.63299316186,1.63299316186,1.0,1.0,1.15470053838,1.15470053838,1.91063323625,1.91063323625,1.0,1.0,3.14159265359,3.14159265359
01-00-nslerp-n-0-0-3dihedron.off,3,2,1.73205080757,0.0,0.0,0.0,1.73205080757,1.73205080757,1.0,1.0,1.29903810568,1.29903810568,2.09439510239,2.09439510239,1.0,1.0,0.0,0.0
