a,b,Method,k,E - Eo,Edge ratio,Face ratio
7,0,gnomonic,,134.91,36.42%,69.66%
7,0,areal,,11.00,17.57%,20.26%
7,0,antiprism geodesic (same as great circle),,4.40,17.19%,13.42%
7,0,great circle (tweak),,2.14,17.19%,10.85%
7,0,nslerp,1.00,2.91,17.19%,11.74%
7,0,nslerp,1.04,2.79,17.19%,11.49%
7,0,nslerp,1.26,2.47,17.19%,11.71%
7,0,nslerp (tweak),1.00,3.09,17.19%,11.84%
7,0,nslerp (tweak),1.05,2.91,17.19%,11.50%
7,0,nslerp (tweak),1.30,2.53,17.19%,11.74%
5,3,gnomonic,,154.96,43.30%,87.17%
5,3,great circle,,29.45,25.07%,38.81%
5,3,great circle (tweak),,27.30,25.11%,36.61%
5,3,areal,,17.06,22.69%,30.34%
5,3,antiprism geodesic,,8.14,21.44%,22.74%
5,3,nslerp,0.49,11.01,20.45%,25.90%
5,3,nslerp,1.00,5.50,22.25%,19.20%
5,3,nslerp,1.50,3.75,24.32%,18.25%
5,3,nslerp,1.74,4.11,25.23%,17.87%
5,3,nslerp (tweak),0.51,11.03,20.55%,25.84%
5,3,nslerp (tweak),1.00,6.01,22.28%,19.75%
5,3,nslerp (tweak),1.55,4.08,24.55%,18.76%
5,3,nslerp (tweak),1.78,4.40,25.47%,18.47%
